sex,age,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,decile_score.1,v_decile_score,priors_count.1,two_year_recid
Male,25,African-American,0,10,0,0,3,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,10,9,3,0
Male,31,Caucasian,0,5,0,0,6,-1.0,1.0,F,Driving While License Revoked,1,1,5,4,6,1
Male,31,Caucasian,0,3,0,0,5,-1.0,1.0,F,Possession Of Heroin,1,0,3,2,5,1
Male,64,African-American,0,6,0,0,13,-1.0,1.0,F,arrest case no charge,1,0,6,3,13,1
Male,21,African-American,0,9,0,0,1,-1.0,1.0,F,Battery on Law Enforc Officer,1,0,9,9,1,1
Male,27,Caucasian,0,2,0,0,0,0.0,0.0,M,Possession Of Methamphetamine,1,0,2,3,0,1
Female,21,Caucasian,0,4,0,0,0,-2.0,2.0,F,Introduce Contraband Into Jail,0,0,4,5,0,0
Male,24,Hispanic,0,4,0,0,1,0.0,1.0,F,Lewd/Lasc Battery Pers 12+/<16,1,0,4,5,1,1
Male,43,Caucasian,0,1,0,0,1,-1.0,1.0,M,Susp Drivers Lic 1st Offense,0,0,1,2,1,0
Male,32,Other,0,3,0,0,0,-1.0,1.0,M,Battery,0,0,3,4,0,0
Male,27,African-American,0,3,0,0,8,-1.0,1.0,F,Carrying Concealed Firearm,1,1,3,3,8,1
Female,36,Caucasian,0,3,0,0,3,53.0,95.0,F,arrest case no charge,0,0,3,1,3,0
Male,26,African-American,0,7,0,1,5,-1.0,1.0,F,Pos Cannabis W/Intent Sel/Del,1,0,7,7,5,1
Male,33,African-American,0,10,0,0,0,0.0,1.0,F,Tampering With Physical Evidence,1,1,10,6,0,1
Male,30,Caucasian,0,9,0,0,9,0.0,0.0,F,Felony Battery w/Prior Convict,1,0,9,10,9,1
Male,32,African-American,0,8,0,0,4,-1.0,1.0,F,Att Tamper w/Physical Evidence,1,0,8,3,4,1
Male,55,Caucasian,0,1,0,0,0,-1.0,1.0,F,arrest case no charge,0,0,1,1,0,0
Male,49,Other,0,3,0,0,7,-1.0,0.0,F,Agg Fleeing and Eluding,1,0,3,2,7,1
Male,26,Caucasian,0,8,0,2,6,81.0,382.0,M,Operating W/O Valid License,0,0,8,8,6,0
Female,33,Caucasian,0,5,0,0,4,-1.0,1.0,M,Battery,1,0,5,2,4,1
Male,24,Caucasian,0,2,0,0,1,0.0,0.0,M,Battery,1,0,2,3,1,1
Male,34,African-American,2,9,1,3,21,0.0,0.0,F,Poss Wep Conv Felon,1,0,9,6,21,1
Male,29,Caucasian,0,2,0,0,0,0.0,1.0,M,Possess Cannabis/20 Grams Or Less,0,0,2,2,0,0
Female,21,African-American,0,8,0,0,2,-1.0,1.0,F,arrest case no charge,0,0,8,8,2,0
Male,51,African-American,0,1,0,0,2,-1.0,1.0,M,Unlaw Use False Name/Identity,0,0,1,1,2,0
Male,29,Caucasian,0,2,0,0,2,-1.0,1.0,M,Viol Injunct Domestic Violence,1,0,2,2,2,1
Female,51,African-American,0,2,0,0,7,-1.0,1.0,F,Possession of Cocaine,0,0,2,2,7,0
Male,29,African-American,0,7,0,0,0,0.0,0.0,F,Defrauding Innkeeper $300/More,1,0,7,2,0,1
Male,25,Caucasian,0,10,0,0,9,-1.0,1.0,M,Battery,1,1,10,9,9,1
Male,35,African-American,1,8,0,4,13,-1.0,1.0,F,Uttering a Forged Instrument,1,1,8,3,13,1
Male,49,Caucasian,0,1,0,0,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,0,0,1,1,0,0
Male,34,African-American,0,3,0,0,4,-59.0,59.0,M,Driving License Suspended,1,0,3,2,4,1
Male,29,African-American,0,4,0,0,0,0.0,1.0,F,Tampering With Physical Evidence,0,0,4,3,0,0
Male,29,Caucasian,0,2,0,0,1,-24.0,24.0,F,Possession of Oxycodone,1,0,2,2,1,1
Female,28,Other,0,2,0,0,0,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,2,2,0,0
Male,48,Caucasian,0,6,0,0,20,302.0,562.0,F,arrest case no charge,1,0,6,4,20,1
Female,63,Hispanic,0,1,0,0,1,-219.0,219.0,F,arrest case no charge,0,0,1,1,1,0
Male,31,African-American,0,5,0,1,15,-1.0,1.0,F,Attempt Armed Burglary Dwell,1,0,5,7,15,0
Male,24,African-American,0,4,0,0,2,-1.0,1.0,F,Poss Tetrahydrocannabinols,1,0,4,4,2,1
Male,30,Hispanic,0,7,0,0,0,0.0,0.0,M,Possess Cannabis/20 Grams Or Less,0,0,7,3,0,0
Male,49,African-American,0,1,0,0,4,-1.0,1.0,M,Battery,0,0,1,1,4,0
Male,53,Caucasian,0,5,0,0,8,-13.0,13.0,F,arrest case no charge,0,0,5,2,8,0
Male,35,African-American,0,3,0,0,5,-1.0,1.0,F,Driving While License Revoked,0,0,3,2,5,0
Male,63,African-American,0,7,0,0,10,-38.0,906.0,M,Possess Drug Paraphernalia,1,0,7,5,10,1
Male,27,African-American,1,10,1,2,15,-1.0,1.0,F,Driving While License Revoked,1,0,10,9,15,1
Male,38,Caucasian,0,2,0,0,4,-1.0,1.0,M,Battery,1,0,2,2,4,1
Male,22,African-American,0,4,0,1,1,-1.0,1.0,F,Poss Firearm W/Altered ID#,1,0,4,6,1,1
Male,22,African-American,0,10,1,2,2,70.0,114.0,F,Sell Conterfeit Cont Substance,1,0,10,9,2,1
Male,29,African-American,0,9,0,0,4,-1.0,1.0,F,arrest case no charge,1,0,9,5,4,1
Male,62,Hispanic,0,1,0,0,0,0.0,1.0,M,Unlaw LicTag/Sticker Attach,0,0,1,1,0,0
Male,27,African-American,0,6,1,0,6,0.0,0.0,F,Aggravated Battery / Pregnant,1,0,6,3,6,1
Male,33,Other,0,1,0,0,0,-1.0,1.0,M,Battery,0,0,1,1,0,0
Female,56,African-American,0,1,0,0,0,0.0,1.0,M,Battery,0,0,1,1,0,0
Male,45,Hispanic,0,1,0,0,6,-1.0,1.0,F,Possession of Cocaine,1,1,1,1,6,1
Male,22,Hispanic,0,4,0,0,1,-1.0,1.0,F,Burglary Structure Unoccup,0,0,4,6,1,0
Male,39,African-American,0,4,0,0,1,-1.0,1.0,M,arrest case no charge,0,0,4,2,1,0
Male,29,African-American,0,6,0,0,5,0.0,0.0,F,False Name By Person Arrest,1,0,6,3,5,1
Male,27,Caucasian,0,6,0,1,1,-1.0,1.0,F,arrest case no charge,1,0,6,3,1,1
Male,40,African-American,0,2,0,0,2,-15.0,15.0,F,arrest case no charge,0,0,2,1,2,0
Male,22,African-American,0,3,0,0,1,0.0,1.0,M,Battery,1,0,3,3,1,1
Male,22,Caucasian,0,8,0,0,0,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,8,6,0,0
Female,26,African-American,0,4,0,0,1,-1.0,1.0,F,Poss Cocaine/Intent To Del/Sel,1,1,4,3,1,1
Male,27,Caucasian,0,7,0,0,1,-43.0,44.0,F,Burglary Dwelling Assault/Batt,1,1,7,8,1,1
Male,32,African-American,0,2,0,0,0,-1.0,1.0,F,Felony Battery (Dom Strang),0,0,2,1,0,0
Male,41,African-American,0,2,0,0,1,-1.0,5185.0,M,arrest case no charge,0,0,2,2,1,0
Male,30,African-American,0,10,0,0,8,-1.0,1.0,M,Possess Cannabis/20 Grams Or Less,1,1,10,9,8,1
Male,50,Other,0,1,0,0,0,-1.0,1.0,F,arrest case no charge,1,0,1,2,0,1
Male,25,African-American,1,10,6,1,14,-1.0,1.0,F,arrest case no charge,1,1,10,10,14,1
Male,20,Other,0,5,0,0,0,-1.0,1.0,F,Tampering With Physical Evidence,1,1,5,8,0,1
Male,22,African-American,1,9,0,0,2,0.0,0.0,F,Attempted Burg/struct/unocc,1,0,9,10,2,1
Male,23,African-American,0,7,0,1,2,137.0,192.0,M,arrest case no charge,1,0,7,8,2,1
Female,35,African-American,0,2,0,0,1,-1.0,1.0,M,arrest case no charge,0,0,2,1,1,0
Male,36,African-American,0,7,0,0,9,0.0,1.0,F,Deliver Cocaine,1,0,7,6,9,1
Male,26,Caucasian,0,8,0,0,7,0.0,1.0,F,Possession Burglary Tools,1,0,8,4,7,1
Male,21,Other,0,6,0,0,1,0.0,1.0,F,Grand Theft in the 3rd Degree,1,0,6,6,1,1
Male,25,Caucasian,0,8,0,0,9,-1.0,1.0,F,Pos Cannabis W/Intent Sel/Del,1,1,8,9,9,1
Male,71,African-American,0,7,0,0,12,,804.0,M,Possess Cannabis/20 Grams Or Less,0,0,7,3,12,0
Female,20,Caucasian,0,7,0,0,0,-1.0,1.0,F,"Poss3,4 Methylenedioxymethcath",0,0,7,8,0,0
Male,39,Caucasian,0,1,0,0,2,-2.0,3.0,F,Possession Of Alprazolam,1,0,1,1,2,1
Male,66,Caucasian,0,1,0,0,3,-64.0,64.0,F,Flee/Elude LEO-Agg Flee Unsafe,0,0,1,1,3,0
Female,54,Caucasian,0,1,0,0,0,0.0,1.0,M,DUI Level 0.15 Or Minor In Veh,0,0,1,1,0,0
Female,44,Hispanic,0,1,0,0,0,-2.0,2.0,M,Battery,0,0,1,1,0,0
Male,19,African-American,0,4,0,0,1,-10.0,10.0,M,Battery,1,1,4,7,1,1
Male,24,African-American,0,2,0,0,1,-137.0,137.0,F,arrest case no charge,0,0,2,3,1,0
Male,30,African-American,0,2,0,0,1,-1.0,1.0,F,Fail To Redeliv Hire/Leas Prop,0,0,2,2,1,0
Female,39,Caucasian,0,1,0,0,0,-1.0,1.0,F,Aggravated Assault W/Dead Weap,1,1,1,1,0,1
Male,24,Caucasian,0,6,1,2,8,-1.0,0.0,F,False Ownership Info/Pawn Item,1,0,6,6,8,1
Male,30,Caucasian,0,4,0,0,0,-1.0,1.0,F,Possession Of Methamphetamine,0,0,4,2,0,0
Male,31,Caucasian,0,5,0,0,0,-1.0,1.0,M,Battery,0,0,5,2,0,0
Female,39,Caucasian,0,4,0,0,1,-1.0,1.0,F,Possession of Morphine,0,0,4,3,1,0
Male,59,African-American,0,9,0,0,14,178.0,265.0,F,arrest case no charge,1,1,9,4,14,1
Male,43,Caucasian,0,1,0,0,1,-30.0,30.0,F,Possession of Cocaine,0,0,1,1,1,0
Male,21,African-American,0,9,0,0,3,-1.0,1.0,F,Grand Theft in the 3rd Degree,1,0,9,6,3,1
Male,38,Caucasian,0,4,0,0,5,-1.0,1.0,M,Possess Cannabis/20 Grams Or Less,1,0,4,3,5,1
Male,34,Caucasian,0,5,0,0,0,0.0,0.0,F,Aggravated Assault w/Firearm,0,0,5,5,0,0
Male,33,African-American,0,5,0,0,5,0.0,1.0,F,Poss Contr Subst W/o Prescript,1,0,5,2,5,1
Male,37,African-American,0,2,0,0,3,0.0,0.0,F,"Poss3,4 Methylenedioxymethcath",0,0,2,1,3,0
Male,42,Caucasian,0,2,0,0,1,0.0,1.0,F,Aggrav Stalking After Injunctn,1,0,2,2,1,1
Male,41,African-American,0,9,1,0,10,0.0,0.0,F,Possession of Cocaine,1,0,9,7,10,1
Male,22,African-American,0,4,0,0,0,-1.0,1.0,F,Uttering a Forged Instrument,1,0,4,7,0,1
Male,33,African-American,0,8,12,2,28,-1.0,1.0,F,Driving While License Revoked,1,0,8,5,28,1
Male,31,African-American,0,7,0,0,1,-1.0,1.0,M,Battery,0,0,7,8,1,0
Female,30,Other,0,2,0,0,1,-1.0,1.0,F,Crim Use of Personal ID Info,0,0,2,2,1,0
Male,31,Caucasian,0,10,0,0,13,-1.0,0.0,F,arrest case no charge,1,1,10,7,13,1
Male,27,African-American,0,9,0,0,3,-1.0,1.0,F,Possession of Cocaine,1,0,9,4,3,1
Male,56,African-American,0,9,0,0,8,67.0,79.0,F,arrest case no charge,0,0,9,3,8,0
Male,52,Caucasian,0,9,0,0,3,-2.0,2.0,M,Battery,0,0,9,6,3,0
Male,33,African-American,0,10,0,0,19,-1.0,1.0,F,arrest case no charge,1,0,10,7,19,1
Female,64,Caucasian,0,1,0,0,2,-47.0,48.0,M,Resist/Obstruct W/O Violence,0,0,1,1,2,0
Male,22,Caucasian,0,6,0,0,4,-36.0,36.0,F,Possession Of Alprazolam,1,0,6,8,4,1
Male,42,Caucasian,0,3,0,0,6,-4.0,5.0,F,Possession Of Alprazolam,0,0,3,1,6,0
Female,25,Caucasian,0,4,0,0,2,-1.0,1.0,F,arrest case no charge,0,0,4,5,2,0
Male,30,Caucasian,0,2,0,0,1,-20.0,20.0,M,Agg Fleeing and Eluding,0,0,2,2,1,0
Male,28,Caucasian,0,1,0,0,2,,161.0,F,arrest case no charge,0,0,1,2,2,0
Female,37,Other,0,2,0,0,2,-1.0,222.0,M,Petit Theft,0,0,2,1,2,0
Male,28,Caucasian,0,2,0,0,0,-1.0,1.0,M,Disorderly Intoxication,1,0,2,3,0,1
Female,24,African-American,0,2,0,0,0,-1.0,1.0,M,Battery,0,0,2,3,0,0
Female,29,Caucasian,0,4,1,0,10,-1.0,1.0,F,Grand Theft in the 3rd Degree,1,0,4,2,10,1
Male,44,Caucasian,0,2,0,0,2,0.0,1.0,M,Battery,1,0,2,1,2,1
Female,30,Hispanic,0,5,0,0,4,-35.0,36.0,F,Battery on Law Enforc Officer,1,1,5,5,4,1
Male,32,African-American,0,7,0,0,3,-1.0,1.0,F,Possession of Cocaine,1,0,7,3,3,1
Male,31,Caucasian,0,3,0,0,2,-16.0,16.0,M,Resist/Obstruct W/O Violence,1,0,3,3,2,1
Male,31,African-American,0,2,0,0,1,-1.0,1.0,M,Lewdness Violation,1,0,2,3,1,0
Male,59,Caucasian,0,2,0,0,1,-1.0,1.0,F,Possession of Cocaine,1,0,2,1,1,1
Female,45,Caucasian,0,4,0,0,4,,375.0,F,arrest case no charge,0,0,4,3,4,0
Female,20,African-American,1,10,0,0,1,0.0,0.0,F,arrest case no charge,0,0,10,10,1,0
Female,43,Caucasian,0,1,0,0,0,0.0,0.0,M,DUI Level 0.15 Or Minor In Veh,0,0,1,1,0,0
Male,38,African-American,1,8,1,0,9,-1.0,1.0,F,Possession of Cocaine,1,0,8,4,9,1
Male,32,African-American,0,6,0,0,11,-2.0,2.0,F,Poss Pyrrolidinovalerophenone,1,1,6,5,11,1
Male,33,African-American,0,5,0,0,8,-1.0,1.0,M,Assault,1,1,5,2,8,1
Female,31,African-American,0,3,0,0,0,-1.0,1.0,F,Possession of Oxycodone,1,0,3,2,0,1
Female,33,African-American,0,9,0,0,7,-1.0,1.0,F,Possession of Cocaine,1,0,9,9,7,1
Male,27,African-American,0,9,0,0,2,-1.0,1.0,F,Tampering With Physical Evidence,1,0,9,8,2,1
Female,20,African-American,0,6,0,0,0,0.0,1.0,F,Grand Theft in the 3rd Degree,0,0,6,8,0,0
Female,26,Caucasian,0,6,0,0,0,-2.0,2.0,M,Fail To Obey Police Officer,0,0,6,3,0,0
Female,61,African-American,0,1,0,0,1,-1.0,1.0,F,Solicit Purchase Cocaine,1,0,1,1,1,1
Male,52,Other,0,7,0,0,13,-1.0,1.0,F,Felony Petit Theft,1,0,7,6,13,1
Male,63,Hispanic,0,1,0,0,1,-26.0,26.0,F,arrest case no charge,0,0,1,1,1,0
Female,32,African-American,0,10,0,0,4,-7.0,7.0,F,arrest case no charge,1,1,10,9,4,1
Male,29,Hispanic,0,4,0,0,1,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,4,4,1,0
Female,46,Other,0,2,0,0,1,,72.0,F,Grand Theft in the 1st Degree,0,0,2,1,1,0
Female,26,African-American,0,4,0,0,2,-1.0,1.0,M,Driving Under The Influence,1,0,4,4,2,1
Male,55,African-American,0,1,0,0,3,-51.0,52.0,M,Battery,0,0,1,1,3,0
Male,39,Caucasian,1,4,0,0,1,-1.0,1672.0,M,,0,0,4,4,1,0
Female,30,Caucasian,0,7,0,0,3,0.0,1.0,F,Possession Of Carisoprodol,1,0,7,4,3,1
Male,30,African-American,0,7,0,0,1,0.0,1.0,F,Burglary Conveyance Assault/Bat,0,0,7,8,1,0
Male,48,Caucasian,0,2,0,0,2,-1.0,1.0,M,Battery,0,0,2,1,2,0
Male,22,African-American,0,2,0,0,1,-1.0,1.0,F,arrest case no charge,0,0,2,4,1,0
Male,46,Caucasian,0,1,0,0,6,22.0,31.0,F,Driving While License Revoked,1,0,1,1,6,1
Female,49,Caucasian,0,6,0,0,6,-56.0,56.0,F,Crim Use of Personal ID Info,0,0,6,2,6,0
Male,31,Caucasian,0,5,0,0,0,0.0,1.0,F,"Deliver 3,4 Methylenediox",0,0,5,4,0,0
Male,25,African-American,0,2,0,0,1,-1.0,1.0,M,Battery,1,0,2,3,1,1
Male,23,Hispanic,0,3,0,0,0,-1.0,2.0,F,"Poss3,4 Methylenedioxymethcath",0,0,3,5,0,0
Female,32,African-American,0,7,0,0,5,-1.0,1.0,F,Aggravated Assault W/dead Weap,0,0,7,3,5,0
Male,52,Hispanic,0,1,0,0,2,-1.0,1.0,M,Leave Acc/Attend Veh/More $50,0,0,1,1,2,0
Male,62,African-American,0,4,0,0,8,0.0,1.0,F,Possession of Cocaine,0,0,4,1,8,0
Female,37,Caucasian,0,10,0,0,6,-110.0,111.0,F,Possession of Cocaine,0,0,10,4,6,0
Male,55,Caucasian,0,1,0,0,1,-45.0,45.0,F,Grand Theft in the 3rd Degree,0,0,1,1,1,0
Male,31,Hispanic,0,9,0,0,8,29.0,61.0,F,arrest case no charge,1,0,9,7,8,1
Male,28,African-American,0,6,0,0,6,-1.0,1.0,M,Resist/Obstruct W/O Violence,1,1,6,6,6,1
Male,54,Hispanic,0,1,0,0,2,-1.0,1.0,F,Burglary Unoccupied Dwelling,0,0,1,1,2,0
Male,58,Hispanic,0,2,0,0,0,-1.0,1.0,F,Possession Of Heroin,0,0,2,1,0,0
Male,78,Caucasian,0,1,0,0,1,-1.0,1.0,M,Driving Under The Influence,1,0,1,1,1,1
Male,56,Caucasian,0,1,0,0,0,-1.0,1.0,F,Possession of Cocaine,0,0,1,1,0,0
Male,24,Other,0,2,0,0,0,-1.0,1.0,F,Burglary Unoccupied Dwelling,0,0,2,4,0,0
Male,38,African-American,2,8,2,1,22,-34.0,35.0,F,Child Abuse,1,0,8,5,22,1
Male,22,African-American,0,5,0,0,1,0.0,1.0,F,Pos Cannabis W/Intent Sel/Del,1,0,5,5,1,1
Male,47,African-American,0,8,0,0,23,-1.0,1.0,M,Possess Cannabis/20 Grams Or Less,1,0,8,1,23,1
Male,23,African-American,0,2,0,0,0,-1.0,1.0,M,Battery,1,0,2,4,0,1
Male,57,Hispanic,0,1,0,0,1,0.0,0.0,F,Driving While License Revoked,0,0,1,1,1,0
Female,38,Caucasian,0,5,0,0,2,-35.0,35.0,F,Possession of Cocaine,1,0,5,2,2,1
Male,66,African-American,0,1,0,0,3,-10.0,10.0,F,Agg Battery Grt/Bod/Harm,1,1,1,1,3,0
Male,45,Caucasian,0,4,0,0,8,0.0,0.0,M,Viol Injunct Domestic Violence,1,0,4,3,8,1
Female,52,Other,0,3,0,0,0,,,M,,1,0,3,1,0,1
Male,32,African-American,0,10,0,0,13,289.0,1.0,F,Poss Cocaine/Intent To Del/Sel,1,0,10,7,13,1
Male,37,African-American,0,9,0,0,2,0.0,0.0,M,Battery,1,1,9,8,2,1
Male,39,Caucasian,0,4,0,0,0,0.0,0.0,F,Possession Of Methamphetamine,1,0,4,4,0,1
Male,26,African-American,0,9,0,0,9,0.0,1.0,F,Deliver Cocaine,1,0,9,8,9,1
Male,45,Caucasian,0,3,0,0,2,-1.0,1.0,F,Lewd or Lascivious Molestation,0,0,3,4,2,0
Male,23,African-American,0,3,0,0,0,-1.0,1.0,F,Possession of Cannabis,1,1,3,4,0,1
Male,34,African-American,0,2,0,0,2,0.0,1.0,M,Battery,1,0,2,1,2,0
Female,23,African-American,0,4,0,0,1,-1.0,1.0,M,Battery,0,0,4,4,1,0
Male,36,Other,0,3,0,0,2,-1.0,1.0,M,Battery,1,0,3,1,2,1
Male,50,Caucasian,0,1,0,0,1,-4.0,4.0,F,Sexual Performance by a Child,0,0,1,1,1,0
Female,37,Caucasian,0,3,0,0,0,-1.0,1.0,M,Leaving Acc/Unattended Veh,0,0,3,1,0,0
Male,44,Caucasian,0,4,0,0,4,0.0,0.0,M,Battery,0,0,4,4,4,0
Female,35,African-American,0,9,1,0,23,-1.0,1.0,F,Felony Petit Theft,1,0,9,9,23,1
Male,24,Other,0,5,0,0,5,-1.0,1.0,F,arrest case no charge,1,0,5,4,5,1
Male,26,African-American,0,10,0,0,2,-1.0,1.0,F,Fleeing Or Attmp Eluding A Leo,1,0,10,8,2,1
Male,27,African-American,0,2,0,0,0,-1.0,1.0,M,Criminal Mischief,0,0,2,3,0,0
Female,28,African-American,0,8,0,0,0,0.0,1.0,F,Aggrav Battery w/Deadly Weapon,0,0,8,6,0,0
Male,43,Caucasian,0,5,0,0,11,49.0,56.0,F,arrest case no charge,1,1,5,3,11,1
Female,28,Caucasian,0,9,0,0,7,-1.0,1.0,F,Felony Petit Theft,1,0,9,6,7,1
Male,38,African-American,0,1,0,0,2,-1.0,1.0,F,Driving While License Revoked,0,0,1,1,2,0
Male,27,Caucasian,0,4,0,0,2,-36.0,36.0,M,Trespass Struct/Conveyance,0,0,4,3,2,0
Female,28,African-American,0,9,0,0,1,-1.0,1.0,F,arrest case no charge,0,0,9,7,1,0
Male,56,Caucasian,0,1,0,0,7,-1.0,1.0,F,Felony Driving While Lic Suspd,1,0,1,1,7,1
Male,38,African-American,0,9,0,0,15,-1.0,1.0,F,Possession of Cocaine,0,0,9,3,15,0
Male,28,African-American,0,5,0,0,2,-1.0,2147.0,M,Possess Cannabis/20 Grams Or Less,0,0,5,4,2,0
Male,45,African-American,0,6,0,0,3,104.0,23.0,F,arrest case no charge,0,0,6,4,3,0
Male,28,Hispanic,0,2,0,0,0,,5.0,M,DUI Property Damage/Injury,0,0,2,3,0,0
Male,61,Caucasian,0,1,0,0,1,-34.0,34.0,F,arrest case no charge,0,0,1,1,1,0
Female,51,Caucasian,0,1,0,0,0,-1.0,1.0,M,Driving Under The Influence,1,1,1,1,0,1
Male,51,Caucasian,0,2,0,0,0,-1.0,1.0,M,Battery,0,0,2,2,0,0
Male,36,Other,0,1,0,0,1,-1.0,1.0,M,Possess Cannabis/20 Grams Or Less,1,0,1,1,1,1
Male,48,African-American,0,1,0,0,0,-1.0,1.0,F,Aggravated Battery (Firearm/Actual Possession),0,0,1,1,0,0
Male,37,Caucasian,0,3,0,0,4,0.0,0.0,F,arrest case no charge,1,0,3,4,4,1
Female,30,African-American,0,7,0,0,2,-1.0,1.0,F,Grand Theft in the 3rd Degree,0,0,7,4,2,0
Female,41,African-American,0,6,0,0,5,0.0,1.0,M,Battery,0,0,6,3,5,0
Male,27,African-American,0,10,0,0,11,-1.0,1.0,F,Robbery / No Weapon,1,0,10,9,11,1
Male,37,African-American,0,1,0,0,0,-1.0,1.0,M,Battery,1,1,1,1,0,0
Male,33,Other,0,4,0,0,4,0.0,1.0,F,Aggravated Assault w/Firearm,1,0,4,2,4,1
Male,54,African-American,0,9,0,0,11,-1.0,1.0,F,Grand Theft (Motor Vehicle),0,0,9,9,11,0
Male,23,African-American,0,9,0,0,2,-1.0,1.0,F,Robbery / Weapon,0,0,9,5,2,0
Female,26,African-American,0,4,0,0,2,-227.0,227.0,F,arrest case no charge,1,0,4,6,2,1
Male,41,African-American,0,1,0,0,0,0.0,0.0,M,Battery,0,0,1,1,0,0
Male,52,Caucasian,0,1,0,0,0,-1.0,1.0,F,Burglary With Assault/battery,0,0,1,1,0,0
Male,43,Caucasian,0,4,0,0,13,0.0,1.0,F,Driving While License Revoked,1,0,4,1,13,1
Male,52,African-American,0,4,0,0,0,-1.0,1.0,F,Uttering a Forged Instrument,0,0,4,3,0,0
Male,28,Caucasian,0,1,0,0,1,-3.0,3.0,F,arrest case no charge,0,0,1,2,1,0
Male,30,African-American,0,9,0,2,11,-1.0,1.0,M,Battery,1,1,9,4,11,1
Male,28,Caucasian,0,5,0,0,1,0.0,0.0,F,Criminal Mischief,0,0,5,3,1,0
Male,22,African-American,0,4,0,0,0,-1.0,1.0,F,Pos Cannabis W/Intent Sel/Del,0,0,4,6,0,0
Male,30,African-American,0,2,0,0,4,0.0,0.0,F,Driving While License Revoked,0,0,2,2,4,0
Male,25,Hispanic,0,4,0,0,4,0.0,0.0,F,Possession of Cannabis,0,0,4,4,4,0
Male,31,Caucasian,0,8,0,0,0,-1.0,1.0,F,Burglary Unoccupied Dwelling,1,0,8,5,0,1
Male,37,Caucasian,0,2,0,0,0,-1.0,1.0,F,Grand Theft in the 3rd Degree,1,0,2,1,0,1
Male,32,African-American,0,9,1,0,14,-1.0,1.0,F,Aggravated Battery / Pregnant,0,0,9,8,14,0
Male,26,African-American,0,8,1,0,4,649.0,1562.0,M,Possess Cannabis/20 Grams Or Less,0,0,8,6,4,0
Male,53,Caucasian,0,1,0,0,1,-1.0,1.0,M,Battery,0,0,1,1,1,0
Male,28,African-American,0,8,0,0,25,29.0,70.0,F,arrest case no charge,1,0,8,9,25,1
Male,44,Caucasian,0,5,0,0,8,-1.0,1.0,M,Battery,1,0,5,3,8,1
Male,25,African-American,0,3,0,0,0,0.0,1.0,F,Grand Theft in the 3rd Degree,0,0,3,4,0,0
Male,22,Caucasian,0,8,0,1,1,0.0,0.0,M,Voyeurism,1,0,8,7,1,1
Female,37,Other,0,1,0,0,0,-1.0,2.0,M,Battery,0,0,1,1,0,0
Female,40,Other,0,2,0,0,3,-1.0,1.0,F,Driving While License Revoked,0,0,2,1,3,0
Male,36,Caucasian,0,7,0,0,8,150.0,0.0,F,Felony Driving While Lic Suspd,1,1,7,9,8,1
Male,30,Caucasian,0,2,0,0,4,-140.0,140.0,F,False Imprisonment,0,0,2,2,4,0
